LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT3,BILL_AMT5,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,dpnm
60000,2,2,2,23,0,0,0,0,0,0,45648,47214,19209,1937,1301,682,690,816,835,0
90000,1,2,2,35,0,0,0,0,0,0,83725,87653,30942,3621,3597,1179,1112,1104,1143,0
360000,1,1,1,43,-1,-1,-1,-1,-1,0,3967,3394,26370,8339,3394,12902,27000,0,68978,0
150000,1,1,2,27,0,0,0,0,0,0,86009,89006,87725,4031,10006,3266,4040,1698,800,0
50000,2,3,1,22,0,0,0,0,0,0,18722,16997,8866,1411,1194,379,281,321,197,0
20000,1,2,1,38,0,0,0,0,0,-1,17973,19559,17928,1699,1460,626,1750,150,0,1
140000,1,1,2,32,-2,-2,-2,-2,-2,-2,672,850,100,10212,850,415,100,1430,0,0
380000,2,1,2,30,-2,-2,-1,0,0,0,-81,32475,33564,223,33178,1171,1197,1250,5000,0
480000,1,1,1,63,0,0,0,2,2,0,422069,479432,471145,16078,55693,17000,0,18000,24200,0
50000,2,3,2,22,0,0,0,0,0,0,44698,38347,23477,1767,1362,1002,840,995,904,1
60000,2,2,2,26,2,2,2,2,2,0,56685,59175,55447,0,5000,2511,6,3000,3000,0
70000,2,2,2,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,0,0,26529,2000,0
80000,2,2,1,36,-1,-1,-1,-1,-1,-1,6108,3277,1150,2861,3279,3319,1150,1150,1035,0
350000,1,1,2,52,-1,-1,-1,-1,-1,-1,713,722,1150,2272,722,867,1150,5263,5011,0
130000,1,2,2,38,0,0,0,-1,-1,-1,171438,39940,44127,10908,0,133657,4566,133841,4796,0
360000,1,2,1,35,1,-2,-2,-2,-2,-2,-103,-103,-103,0,0,0,0,0,0,0
330000,2,1,1,31,0,0,2,0,0,0,105879,105594,106491,9260,0,3593,4100,15794,0,0
50000,1,3,1,47,0,0,2,0,0,0,13244,15181,16671,2000,1000,1000,1000,1000,1000,0
280000,1,2,1,41,2,2,2,2,2,3,135673,134813,152174,6500,0,14254,14850,0,5000,0
100000,2,1,2,24,0,0,0,0,0,0,52128,54477,60100,2000,2677,3076,5080,3000,2033,0
50000,1,2,2,41,0,0,0,0,0,0,19015,20259,20311,1340,1305,700,718,724,684,0
30000,1,1,2,24,-1,2,0,0,3,2,18199,18631,20692,0,1312,3000,0,1000,1000,1
240000,1,1,2,28,-1,-1,-1,-1,-1,-1,326,326,476,326,326,5676,476,326,526,0
80000,1,2,2,26,2,0,0,0,0,0,14029,16630,17629,2000,1700,1000,1000,1000,1000,1
400000,1,2,1,34,-1,-1,-1,-1,-1,-1,19660,11867,14837,9677,11867,7839,14837,7959,5712,0
240000,2,2,2,38,0,0,0,0,-1,-1,50254,53015,1307,2000,3000,3000,1307,1203,563,0
50000,1,3,2,37,2,2,2,3,2,2,46004,48953,49318,1000,4035,1000,1400,2800,0,1
450000,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
110000,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
310000,2,2,1,35,2,0,0,0,0,0,304991,306314,246491,13019,11128,8407,8599,6833,5987,1
20000,1,1,2,27,0,0,0,0,0,0,19115,19298,19717,1404,1130,600,861,313,0,0
20000,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
200000,1,3,2,52,0,0,0,0,0,0,110151,98951,103146,3568,3585,3602,3848,3669,3784,0
180000,1,1,1,36,0,0,0,0,0,0,163736,99278,97753,4655,2690,2067,2142,2217,1000,1
50000,1,2,1,51,0,0,0,0,0,0,3347,4503,6375,1000,1066,1300,1500,1200,134,1
60000,1,3,1,55,3,2,2,0,0,0,60521,57244,29510,2504,7,1200,1200,1100,1500,0
30000,2,1,2,23,1,-2,-2,-2,-1,-1,4000,3508,13744,5645,3508,27,13771,5911,3024,0
240000,1,1,2,41,1,-1,-1,0,0,-1,95,3301,360,2622,3301,0,360,1737,924,0
420000,1,2,1,34,0,0,0,0,0,0,253454,229049,210606,9744,9553,7603,7830,7253,11326,0
330000,1,3,1,46,0,0,0,0,0,0,227389,229644,227775,8210,8095,8025,8175,8391,8200,0
30000,2,2,2,22,0,0,0,0,0,0,28452,26712,17603,2000,1400,0,500,0,1560,0
240000,1,2,1,34,0,0,0,2,2,2,10674,13681,14158,1500,1800,0,1000,0,327,0
150000,1,1,2,27,0,0,0,0,0,0,17444,22000,27200,2500,3000,3000,3000,3500,5000,0
210000,2,2,1,33,0,0,0,0,0,0,7166,8792,4404,1500,1500,1000,500,2000,546,0
50000,2,3,1,51,-1,-1,-1,-1,-2,-2,752,5880,0,300,5880,0,0,0,0,1
50000,1,1,2,24,0,0,0,0,0,0,50801,49586,19375,2360,1700,1000,900,870,2130,0
240000,1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
180000,1,2,2,28,-1,-1,-1,-1,-1,-1,1832,832,416,0,416,332,500,3500,832,0
50000,1,2,2,23,1,2,2,2,0,0,10131,20583,19879,1000,10000,400,700,800,600,0
170000,1,2,2,29,-2,-2,-2,-2,-2,-2,12159,10000,9983,10000,10000,10000,9983,15863,10000,0
20000,1,1,2,29,-1,-1,-1,-1,0,-1,1199,344,6702,15586,344,2340,4702,339,330,0
50000,1,1,2,28,0,0,0,0,0,3,4999,7315,10624,1000,1500,2000,1583,1100,0,0
170000,2,2,2,27,0,0,0,0,0,0,19269,20852,17918,1661,1200,351,358,182,0,1
200000,1,1,2,34,1,2,0,0,0,0,197236,93069,132233,8000,5000,55500,5000,5000,8500,0
80000,2,2,1,23,1,2,3,2,0,0,9168,10205,10123,1650,0,0,379,2091,1,0
260000,2,1,1,60,1,-2,-1,-1,-1,-1,-1100,21400,969,0,22500,0,969,1000,0,0
140000,1,2,1,32,0,0,0,0,2,0,86627,68336,58319,3455,3110,5000,0,2100,2602,0
80000,1,1,2,25,0,0,0,0,0,0,42444,43476,41951,30000,3000,6000,8000,2000,14000,0
350000,1,1,2,41,1,-1,-1,-1,-1,-2,208,1000,0,2906,1000,630,0,0,0,0
280000,2,2,1,56,0,0,0,0,0,0,208775,132257,177145,8042,6700,5137,100000,7000,6321,0
30000,2,3,2,26,0,0,0,0,0,0,9014,11427,13084,1700,1500,1000,1500,1500,1500,0
140000,1,1,1,34,0,0,0,0,0,0,23944,32073,47086,5000,5000,11885,5000,3000,5504,0
200000,2,1,2,37,0,0,0,0,0,0,105420,89643,92505,4000,3250,3250,3500,3560,5000,0
200000,2,3,2,30,0,0,0,0,0,0,196031,189524,146975,7300,7108,7680,6200,5000,4500,0
210000,1,3,1,45,2,3,4,4,5,6,115785,129847,145533,10478,10478,11078,11078,11678,10478,1
50000,1,3,1,57,3,2,0,0,0,0,12854,13447,13711,0,1600,500,500,600,600,0
30000,1,1,2,41,2,2,2,2,2,0,24357,26718,27579,3500,0,2200,0,1200,1250,0
50000,1,2,2,27,2,-1,-1,-1,-1,2,390,780,1080,390,780,216,864,0,390,0
290000,1,3,1,47,-1,-1,-1,-1,0,-1,1234,396,396,396,396,792,0,423,369,0
250000,2,1,1,34,0,0,2,0,0,0,141223,151841,155997,17994,0,5469,5656,6811,3920,0
60000,2,2,1,46,0,0,0,0,0,0,21148,24908,26655,3000,1500,1500,1000,1500,1500,0
110000,2,1,2,27,0,0,0,0,0,0,101640,104855,76058,5500,3900,3000,2900,3000,2800,0
370000,1,1,2,50,-2,-2,-2,-2,-2,-2,6093,8204,4792,15383,8204,15413,4792,13453,4699,0
100000,1,2,1,27,-1,2,2,0,0,0,102349,58824,22979,3166,0,1330,1398,12,50000,0
90000,2,2,1,35,0,0,0,0,0,2,72112,75526,85852,3500,3500,3652,10000,4000,0,0
50000,2,2,2,22,0,0,0,0,0,0,28040,29366,28318,1510,1442,982,1017,1277,567,0
270000,1,2,2,37,0,0,0,0,0,0,37695,30534,26344,5000,2000,3000,4000,3000,2000,0
300000,2,1,2,30,-1,-1,-1,-1,-1,-1,688,0,2672,3288,0,4340,2672,800,746,0
50000,2,2,2,22,-1,0,0,0,0,0,8567,11650,3115,15000,1000,149,0,5000,10000,0
50000,2,1,2,24,1,-2,-2,-2,-2,-2,-709,-709,-3272,0,0,0,0,0,0,1
360000,1,1,2,29,1,-2,-1,-1,-2,-2,0,77,0,0,77,0,0,0,0,0
130000,1,3,1,56,1,2,2,2,2,3,64617,67282,72796,3000,3000,3000,5500,0,0,1
80000,1,1,2,30,-2,-1,0,0,0,0,6187,600,1919,504,500,1000,500,3500,0,0
50000,1,2,2,30,1,2,0,0,0,2,48860,48363,22877,0,1500,1000,2000,0,2000,0
20000,2,2,2,22,0,0,0,0,0,0,16001,13221,14034,1212,1201,500,1500,1500,1000,0
80000,2,2,1,29,0,0,2,0,0,0,77883,80250,10662,5800,1000,600,400,1000,0,0
240000,1,1,2,37,-1,-1,2,0,0,-1,12212,25331,26279,15000,0,2000,0,1256,65935,0
80000,2,3,2,35,0,-1,0,0,0,0,49608,14873,17770,12500,6500,3000,2000,3000,2000,0
500000,2,1,1,47,0,0,0,0,0,0,56422,110340,108834,70010,30357,30000,20000,52183,20000,0
60000,2,2,1,24,0,0,0,0,0,0,58024,48839,19323,2500,1600,3000,1000,737,2000,1
20000,1,2,2,25,0,0,0,0,0,-1,10642,13070,1615,1200,1593,601,135,1824,0,0
100000,2,2,1,38,1,2,0,0,2,0,14483,15323,15868,0,1600,1500,0,1000,1500,1
360000,2,1,2,32,1,-1,-1,-1,-1,-1,2616,5287,13881,57087,5295,68454,13889,16250,38313,0
200000,2,3,2,47,2,2,2,2,2,2,199436,193936,200162,8214,7000,6800,7134,0,6836,1
130000,2,2,1,34,1,-1,0,0,0,0,0,10270,13864,5396,5000,3500,501,1000,2000,0
20000,2,2,2,31,1,5,4,4,3,2,21703,21461,20219,0,1000,0,0,760,0,0
310000,1,1,2,32,0,0,0,0,0,0,59901,62102,60387,10020,6031,10057,5028,5060,4223,0
60000,2,1,2,27,2,0,0,0,2,0,19625,21669,22499,1342,1664,2000,0,900,846,1
180000,2,1,2,29,-1,-1,-1,-2,-1,0,11386,0,17227,199,0,0,17227,341,5114,0
180000,2,1,2,24,-1,-1,2,0,0,-2,14670,21282,0,37867,0,200,0,0,0,0
50000,1,2,1,36,0,0,0,0,-1,-1,47790,18250,72,2000,1000,2000,500,1000,20011,0
50000,2,1,2,24,1,2,2,2,2,2,36166,37680,39228,1900,1400,1700,1532,1600,0,1
150000,2,2,1,34,-2,-2,-2,-2,-2,-2,0,0,0,0,0,116,0,1500,0,0
20000,2,1,2,22,0,0,0,0,-1,0,18553,19065,18868,1500,1032,541,20000,693,1000,0
500000,2,1,1,34,-2,-2,-2,-1,-1,-1,412,2299,1206,138,2299,1251,1206,1151,15816,0
30000,2,3,2,22,1,2,2,0,0,0,29010,28122,1630,1000,85,1714,104,0,0,1
180000,2,1,1,38,-2,-2,-2,-2,-2,-2,750,0,0,0,0,0,0,0,0,0
140000,1,1,2,31,0,0,2,0,0,2,27123,17985,27407,25000,0,3000,7800,0,2500,0
140000,2,1,2,26,-1,0,-1,-1,-1,-1,13424,13001,13506,10000,13001,5841,13506,487,7004,0
120000,1,2,2,26,0,0,0,0,0,0,107314,113736,119131,5000,5000,4152,5000,5000,5000,0
360000,2,2,1,48,0,0,0,0,0,0,226430,234192,173557,9100,7300,5800,5600,5600,4100,0
20000,1,3,1,43,-1,-1,0,0,0,0,227,20237,19450,22359,1305,1258,1459,3457,1700,0
100000,1,1,1,47,-1,-1,-1,-1,-1,-1,390,390,390,1473,390,390,390,0,2380,0
210000,2,2,1,41,-1,-1,-1,-1,-1,-1,3088,343,877,1586,343,3763,877,0,419,1
80000,2,2,2,24,0,0,0,0,0,0,81625,79599,49509,3200,3000,2038,2000,1800,1800,1
330000,2,1,1,50,-1,-1,-1,-1,-2,-2,8872,2854,0,4345,2854,1702,0,1709,258,0
220000,1,1,2,24,0,0,0,-1,-1,-1,105607,111520,0,5000,5050,8303,0,85632,0,0
210000,2,1,1,38,1,-2,-1,0,-1,-1,0,250,789,0,250,0,789,1222,9616,1
40000,2,3,1,43,0,0,0,0,0,0,38257,38103,33138,1700,1504,1200,1500,1500,1000,0
30000,1,2,2,39,0,0,0,2,0,0,28347,18388,7736,3036,2309,0,1000,2000,148,0
470000,1,2,2,27,2,2,2,2,0,0,296573,307843,305145,13000,11001,0,10484,10838,10367,0
30000,1,3,1,42,-1,-1,-1,-1,-1,2,390,390,1320,390,390,240,1470,0,0,0
240000,2,2,1,36,1,-2,-2,-2,-2,-2,-946,-946,-946,0,0,0,0,0,0,1
80000,1,2,2,36,2,0,0,0,0,0,79278,78534,76235,3100,3500,3400,3000,3500,3000,0
110000,2,3,0,31,0,0,0,0,0,0,89989,79288,63818,4000,5000,3000,3000,3000,8954,0
310000,2,1,2,38,-1,-1,-1,-1,-2,-2,1424,126,0,4542,126,0,0,0,0,0
360000,2,1,1,40,2,2,2,0,0,0,105167,112157,117845,12000,0,5900,5000,4500,4700,1
330000,2,3,2,45,0,0,0,0,0,0,335196,335527,335760,12388,12378,12116,12450,12213,11678,0
300000,2,2,2,35,0,0,0,0,0,0,291619,205629,208464,12019,9006,17000,12000,9557,15000,0
320000,2,2,2,33,0,0,0,0,0,0,91653,108597,43805,10042,18832,2117,2076,5045,3754,0
50000,2,3,2,37,1,3,2,0,0,0,52626,49205,30249,0,24,1500,1000,1201,30592,1
170000,2,1,2,28,0,0,0,0,0,0,130370,128900,127280,6530,4860,22500,4820,4877,4962,0
350000,1,3,1,44,-1,-1,-1,-1,-1,-2,3265,1864,0,2686,1864,569,0,0,0,0
20000,1,2,1,37,0,0,0,0,0,0,16455,18902,18650,1609,3000,663,676,834,782,0
50000,1,2,2,23,2,0,0,0,0,0,49758,44116,20066,2401,2254,2004,704,707,1004,1
20000,2,3,2,24,1,2,0,0,0,0,19154,17233,1730,0,1333,500,100,0,3200,0
50000,2,1,2,24,0,0,0,0,0,0,35084,30937,10385,2090,2002,1002,238,1011,389,0
20000,1,2,2,23,1,2,0,0,2,0,20235,16856,13454,0,1200,1000,0,1000,10000,1
50000,1,2,1,26,0,0,-2,-1,-1,0,102800,0,45567,0,0,2624,45567,1747,2000,0
190000,1,2,2,34,2,0,0,0,2,2,129801,134379,140120,5000,5000,10000,0,12118,2769,1
60000,2,2,1,33,0,0,0,0,0,0,58203,20934,20175,1506,1298,1000,721,811,599,0
80000,1,1,2,35,-1,-1,-1,-1,-1,-1,7988,6848,1378,3983,6853,1719,1378,19942,2418,0
150000,2,2,2,27,0,0,0,0,0,0,127402,51547,36900,4500,1745,1566,1208,1077,2529,0
210000,2,1,2,31,-2,-2,-2,-2,-1,-1,1440,7422,6082,0,7422,893,6082,2293,3299,0
240000,2,3,1,50,0,0,0,0,0,0,234205,214642,210375,10116,9150,8008,8000,8009,7714,1
140000,2,2,3,41,0,0,0,0,0,0,19346,22940,16409,3000,2000,2198,1000,3000,2399,1
60000,2,1,2,28,1,2,2,-2,-2,-1,21501,0,0,0,0,0,0,2285,0,0
50000,1,1,2,39,0,0,0,0,0,0,47174,48630,30789,1800,2000,3000,2000,2000,2000,0
50000,2,2,2,27,0,0,0,0,0,0,26655,28676,28790,1800,1750,900,1200,1200,1100,0
180000,2,1,2,32,-1,-1,2,2,-1,-1,3139,2821,2821,2821,0,0,2821,0,176,0
30000,2,1,2,40,-1,-1,2,2,2,2,142,139,19,355,120,0,0,60,60,0
20000,2,2,2,40,0,0,0,0,0,-2,19816,20102,0,1601,2203,2114,0,0,0,0
250000,2,2,1,75,0,-1,-1,-1,-1,-1,52874,1536,5572,1631,1536,1010,5572,794,1184,0
100000,2,2,2,27,0,0,0,0,0,0,37767,30036,30997,1788,1799,1100,1150,2423,0,0
330000,1,1,2,25,0,0,0,0,2,0,46140,48139,39450,2504,4007,5056,74,1023,2566,0
50000,1,3,1,46,0,0,0,0,0,0,35713,16099,16765,1561,1268,587,611,1000,2000,0
50000,2,2,2,26,1,2,2,0,0,0,50867,48869,29527,1710,136,1206,2002,2005,3003,0
30000,1,2,2,28,0,0,0,0,0,0,29242,29155,22001,5006,1244,851,955,0,0,0
140000,2,2,2,26,0,0,0,0,0,0,101551,104781,107699,5366,5087,3605,3894,3785,3304,1
160000,2,1,2,28,0,0,0,0,-1,0,70243,28052,99669,7042,2000,1000,99669,12600,10000,0
400000,2,2,2,29,-1,0,-1,-1,-1,-1,19532,1453,1896,3127,1469,4968,1905,2494,862,0
50000,1,2,1,25,0,0,0,0,0,0,27699,29341,29533,1565,1393,980,994,1024,886,0
140000,2,2,1,48,0,-1,-1,-1,-1,-1,1154,862,1130,1233,1075,1355,1130,21361,1347,0
160000,2,2,1,33,-1,-1,-1,-1,0,-1,8015,9624,7333,2453,9880,52572,1546,2210,0,0
100000,2,3,1,43,0,0,-2,-2,-2,-2,62170,0,0,0,0,0,0,0,0,0
220000,1,1,1,48,2,0,0,0,0,0,210380,201852,172169,10000,9020,6000,5500,6000,5500,1
510000,2,1,2,29,0,0,0,0,0,0,78331,107686,87265,40010,20094,5000,5001,25365,65000,0
50000,1,2,2,29,0,0,0,0,0,0,49276,32563,29130,1602,1400,3000,3130,1062,6318,0
160000,2,1,1,38,-1,-1,-1,-1,2,-1,4473,5969,16578,4664,5969,18941,0,12652,1916,0
230000,2,1,2,37,-2,-2,-2,-2,-2,-2,2283,0,299,51315,0,0,299,338,0,0
80000,2,1,2,37,-1,-1,-1,-1,-1,-1,10115,5986,1644,258,5995,188,1644,16872,4000,0
150000,2,2,1,25,-1,-1,-2,-1,-1,-1,6156,0,316,0,0,316,316,316,316,0
