LIMIT_BAL,BILL_AMT1,PAY_AMT1,PAY_AMT2,PAY_1_2,PAY_1_3,PAY_2_2,PAY_3_2,PAY_4_2,PAY_5_2,dpnm
240000,0,0,0,0,0,0,0,0,0,1
470000,165254,6400,7566,0,0,0,0,0,0,0
360000,23411,4796,3400,0,0,0,0,0,0,0
60000,26324,1576,1213,0,0,0,0,0,0,1
400000,131595,10700,3,0,0,0,1,0,0,0
50000,48909,1676,1302,0,0,0,0,0,0,0
160000,130028,4400,3547,0,0,0,0,0,0,0
360000,390,1170,0,0,0,0,1,0,0,1
160000,3826,1147,2000,0,0,0,0,0,0,0
130000,81313,40000,5000,0,0,0,0,0,0,0
20000,8583,0,1651,1,0,1,0,0,0,0
200000,138180,6300,5500,1,0,1,1,1,1,1
280000,7524,0,3968,0,0,0,0,0,0,0
100000,-2000,7555,0,0,0,0,0,0,0,0
160000,880,1602,840,0,0,0,0,0,0,0
60000,45648,1937,1301,0,0,0,0,0,0,0
90000,83725,3621,3597,0,0,0,0,0,0,0
360000,3967,8339,3394,0,0,0,0,0,0,0
150000,86009,4031,10006,0,0,0,0,0,0,0
50000,18722,1411,1194,0,0,0,0,0,0,0
20000,17973,1699,1460,0,0,0,0,0,0,1
140000,672,10212,850,0,0,0,0,0,0,0
380000,-81,223,33178,0,0,0,0,0,0,0
480000,422069,16078,55693,0,0,0,0,1,1,0
50000,44698,1767,1362,0,0,0,0,0,0,1
60000,56685,0,5000,1,0,1,1,1,1,0
70000,5580,0,0,0,0,0,0,0,0,0
80000,6108,2861,3279,0,0,0,0,0,0,0
350000,713,2272,722,0,0,0,0,0,0,0
130000,171438,10908,0,0,0,0,0,0,0,0
360000,-103,0,0,0,0,0,0,0,0,0
330000,105879,9260,0,0,0,0,1,0,0,0
50000,13244,2000,1000,0,0,0,1,0,0,0
280000,135673,6500,0,1,0,1,1,1,1,0
100000,52128,2000,2677,0,0,0,0,0,0,0
50000,19015,1340,1305,0,0,0,0,0,0,0
30000,18199,0,1312,0,0,1,0,0,0,1
240000,326,326,326,0,0,0,0,0,0,0
80000,14029,2000,1700,1,0,0,0,0,0,1
400000,19660,9677,11867,0,0,0,0,0,0,0
240000,50254,2000,3000,0,0,0,0,0,0,0
50000,46004,1000,4035,1,0,1,1,0,1,1
450000,0,0,0,0,0,0,0,0,0,1
110000,0,0,0,0,0,0,0,0,0,0
310000,304991,13019,11128,1,0,0,0,0,0,1
20000,19115,1404,1130,0,0,0,0,0,0,0
20000,0,0,0,0,0,0,0,0,0,0
200000,110151,3568,3585,0,0,0,0,0,0,0
180000,163736,4655,2690,0,0,0,0,0,0,1
50000,3347,1000,1066,0,0,0,0,0,0,1
60000,60521,2504,7,0,1,1,1,0,0,0
30000,4000,5645,3508,0,0,0,0,0,0,0
240000,95,2622,3301,0,0,0,0,0,0,0
420000,253454,9744,9553,0,0,0,0,0,0,0
330000,227389,8210,8095,0,0,0,0,0,0,0
30000,28452,2000,1400,0,0,0,0,0,0,0
240000,10674,1500,1800,0,0,0,0,1,1,0
150000,17444,2500,3000,0,0,0,0,0,0,0
210000,7166,1500,1500,0,0,0,0,0,0,0
50000,752,300,5880,0,0,0,0,0,0,1
50000,50801,2360,1700,0,0,0,0,0,0,0
240000,0,0,0,0,0,0,0,0,0,1
180000,1832,0,416,0,0,0,0,0,0,0
50000,10131,1000,10000,0,0,1,1,1,0,0
170000,12159,10000,10000,0,0,0,0,0,0,0
20000,1199,15586,344,0,0,0,0,0,0,0
50000,4999,1000,1500,0,0,0,0,0,0,0
170000,19269,1661,1200,0,0,0,0,0,0,1
200000,197236,8000,5000,0,0,1,0,0,0,0
80000,9168,1650,0,0,0,1,0,1,0,0
260000,-1100,0,22500,0,0,0,0,0,0,0
140000,86627,3455,3110,0,0,0,0,0,1,0
80000,42444,30000,3000,0,0,0,0,0,0,0
350000,208,2906,1000,0,0,0,0,0,0,0
280000,208775,8042,6700,0,0,0,0,0,0,0
30000,9014,1700,1500,0,0,0,0,0,0,0
140000,23944,5000,5000,0,0,0,0,0,0,0
200000,105420,4000,3250,0,0,0,0,0,0,0
200000,196031,7300,7108,0,0,0,0,0,0,0
210000,115785,10478,10478,1,0,0,0,0,0,1
50000,12854,0,1600,0,1,1,0,0,0,0
30000,24357,3500,0,1,0,1,1,1,1,0
50000,390,390,780,1,0,0,0,0,0,0
290000,1234,396,396,0,0,0,0,0,0,0
250000,141223,17994,0,0,0,0,1,0,0,0
60000,21148,3000,1500,0,0,0,0,0,0,0
110000,101640,5500,3900,0,0,0,0,0,0,0
370000,6093,15383,8204,0,0,0,0,0,0,0
100000,102349,3166,0,0,0,1,1,0,0,0
90000,72112,3500,3500,0,0,0,0,0,0,0
50000,28040,1510,1442,0,0,0,0,0,0,0
270000,37695,5000,2000,0,0,0,0,0,0,0
300000,688,3288,0,0,0,0,0,0,0,0
50000,8567,15000,1000,0,0,0,0,0,0,0
50000,-709,0,0,0,0,0,0,0,0,1
360000,0,0,77,0,0,0,0,0,0,0
130000,64617,3000,3000,0,0,1,1,1,1,1
80000,6187,504,500,0,0,0,0,0,0,0
50000,48860,0,1500,0,0,1,0,0,0,0
20000,16001,1212,1201,0,0,0,0,0,0,0
80000,77883,5800,1000,0,0,0,1,0,0,0
240000,12212,15000,0,0,0,0,1,0,0,0
80000,49608,12500,6500,0,0,0,0,0,0,0
500000,56422,70010,30357,0,0,0,0,0,0,0
60000,58024,2500,1600,0,0,0,0,0,0,1
20000,10642,1200,1593,0,0,0,0,0,0,0
100000,14483,0,1600,0,0,1,0,0,1,1
360000,2616,57087,5295,0,0,0,0,0,0,0
200000,199436,8214,7000,1,0,1,1,1,1,1
130000,0,5396,5000,0,0,0,0,0,0,0
20000,21703,0,1000,0,0,0,0,0,0,0
310000,59901,10020,6031,0,0,0,0,0,0,0
60000,19625,1342,1664,1,0,0,0,0,1,1
180000,11386,199,0,0,0,0,0,0,0,0
180000,14670,37867,0,0,0,0,1,0,0,0
50000,47790,2000,1000,0,0,0,0,0,0,0
50000,36166,1900,1400,0,0,1,1,1,1,1
150000,0,0,0,0,0,0,0,0,0,0
20000,18553,1500,1032,0,0,0,0,0,0,0
500000,412,138,2299,0,0,0,0,0,0,0
30000,29010,1000,85,0,0,1,1,0,0,1
180000,750,0,0,0,0,0,0,0,0,0
140000,27123,25000,0,0,0,0,1,0,0,0
140000,13424,10000,13001,0,0,0,0,0,0,0
120000,107314,5000,5000,0,0,0,0,0,0,0
360000,226430,9100,7300,0,0,0,0,0,0,0
20000,227,22359,1305,0,0,0,0,0,0,0
100000,390,1473,390,0,0,0,0,0,0,0
210000,3088,1586,343,0,0,0,0,0,0,1
80000,81625,3200,3000,0,0,0,0,0,0,1
330000,8872,4345,2854,0,0,0,0,0,0,0
220000,105607,5000,5050,0,0,0,0,0,0,0
210000,0,0,250,0,0,0,0,0,0,1
40000,38257,1700,1504,0,0,0,0,0,0,0
30000,28347,3036,2309,0,0,0,0,1,0,0
470000,296573,13000,11001,1,0,1,1,1,0,0
30000,390,390,390,0,0,0,0,0,0,0
240000,-946,0,0,0,0,0,0,0,0,1
80000,79278,3100,3500,1,0,0,0,0,0,0
110000,89989,4000,5000,0,0,0,0,0,0,0
310000,1424,4542,126,0,0,0,0,0,0,0
360000,105167,12000,0,1,0,1,1,0,0,1
330000,335196,12388,12378,0,0,0,0,0,0,0
300000,291619,12019,9006,0,0,0,0,0,0,0
320000,91653,10042,18832,0,0,0,0,0,0,0
50000,52626,0,24,0,0,0,1,0,0,1
170000,130370,6530,4860,0,0,0,0,0,0,0
350000,3265,2686,1864,0,0,0,0,0,0,0
20000,16455,1609,3000,0,0,0,0,0,0,0
50000,49758,2401,2254,1,0,0,0,0,0,1
20000,19154,0,1333,0,0,1,0,0,0,0
50000,35084,2090,2002,0,0,0,0,0,0,0
20000,20235,0,1200,0,0,1,0,0,1,1
50000,102800,0,0,0,0,0,0,0,0,0
190000,129801,5000,5000,1,0,0,0,0,1,1
60000,58203,1506,1298,0,0,0,0,0,0,0
80000,7988,3983,6853,0,0,0,0,0,0,0
150000,127402,4500,1745,0,0,0,0,0,0,0
210000,1440,0,7422,0,0,0,0,0,0,0
240000,234205,10116,9150,0,0,0,0,0,0,1
140000,19346,3000,2000,0,0,0,0,0,0,1
60000,21501,0,0,0,0,1,1,0,0,0
50000,47174,1800,2000,0,0,0,0,0,0,0
50000,26655,1800,1750,0,0,0,0,0,0,0
180000,3139,2821,0,0,0,0,1,1,0,0
30000,142,355,120,0,0,0,1,1,1,0
20000,19816,1601,2203,0,0,0,0,0,0,0
250000,52874,1631,1536,0,0,0,0,0,0,0
100000,37767,1788,1799,0,0,0,0,0,0,0
330000,46140,2504,4007,0,0,0,0,0,1,0
50000,35713,1561,1268,0,0,0,0,0,0,0
50000,50867,1710,136,0,0,1,1,0,0,0
30000,29242,5006,1244,0,0,0,0,0,0,0
140000,101551,5366,5087,0,0,0,0,0,0,1
160000,70243,7042,2000,0,0,0,0,0,0,0
400000,19532,3127,1469,0,0,0,0,0,0,0
50000,27699,1565,1393,0,0,0,0,0,0,0
140000,1154,1233,1075,0,0,0,0,0,0,0
160000,8015,2453,9880,0,0,0,0,0,0,0
100000,62170,0,0,0,0,0,0,0,0,0
220000,210380,10000,9020,1,0,0,0,0,0,1
510000,78331,40010,20094,0,0,0,0,0,0,0
50000,49276,1602,1400,0,0,0,0,0,0,0
160000,4473,4664,5969,0,0,0,0,0,1,0
230000,2283,51315,0,0,0,0,0,0,0,0
80000,10115,258,5995,0,0,0,0,0,0,0
150000,6156,0,0,0,0,0,0,0,0,0
10000,6974,1134,1298,0,0,0,0,0,0,0
130000,89003,4100,3095,0,0,0,0,0,0,1
40000,34871,1600,1600,0,0,0,0,0,0,0
50000,13694,1700,0,0,1,1,1,0,0,1
100000,70003,2035,2004,0,0,0,0,0,0,0
120000,1082,0,1350,0,0,1,0,0,0,0
260000,0,0,0,0,0,0,0,0,0,1
200000,11253,2000,1322,0,0,0,0,0,0,0
360000,0,0,0,0,0,0,0,0,0,1
70000,68699,4483,12496,0,0,0,0,0,0,0
460000,171,2728,0,1,0,0,0,0,0,1
50000,1156,316,316,0,0,0,0,0,0,0
50000,50859,2007,2199,0,0,0,0,0,0,0
250000,103109,4000,4500,0,0,0,0,0,0,0
30000,1512,1000,664,0,0,0,0,0,0,0
270000,127543,10063,5162,0,0,0,0,0,0,0
180000,163935,7722,6091,0,0,0,0,0,0,0
100000,53494,4173,3000,0,0,0,0,0,0,0
230000,195126,5000,5000,0,0,0,0,0,0,0
210000,110346,41986,21874,0,0,0,0,0,0,0
210000,60502,3276,2026,1,0,0,0,0,0,0
440000,180641,8610,6907,0,0,0,0,0,0,0
100000,70896,3472,2092,1,0,0,0,0,0,1
240000,8751,1295,1000,0,0,0,0,0,0,0
280000,898,898,325,0,0,0,0,0,0,1
50000,0,0,0,0,0,0,0,0,0,1
30000,1700,1100,0,0,1,1,1,1,1,0
10000,7015,3507,0,0,0,0,1,0,0,1
130000,0,0,0,0,0,0,0,0,0,0
200000,194353,9000,7465,0,0,0,0,0,0,0
120000,1686,657,2319,0,0,0,0,0,0,0
210000,143225,6483,5082,0,0,0,0,0,0,0
280000,58983,2755,3463,0,0,0,0,0,0,0
300000,0,0,13001,0,0,0,0,0,0,1
100000,99209,3490,2332,0,0,0,0,0,0,0
440000,0,0,0,0,0,0,0,0,0,0
50000,49941,2400,1206,0,0,0,0,0,0,0
20000,11968,2800,0,0,0,0,1,0,0,1
200000,871,665,960,0,0,0,0,0,0,0
110000,432,3220,5904,0,0,0,0,0,0,0
500000,10483,23962,0,0,0,0,0,0,0,0
300000,0,5215,0,0,0,0,0,0,0,0
30000,9720,1200,1200,1,0,1,1,0,0,1
60000,20847,13809,14583,0,0,0,0,0,0,0
400000,3697,1000,1354,0,0,0,0,0,0,0
180000,143301,7000,5000,0,0,0,0,0,0,0
20000,10934,3000,3100,0,0,0,0,1,0,0
200000,52439,0,6000,0,0,1,1,1,0,1
100000,55734,1631,1286,0,0,0,0,0,0,0
60000,49507,1970,2000,0,0,0,0,0,0,1
110000,47819,2200,2500,0,0,0,0,0,0,0
260000,0,165,526,0,0,0,0,0,0,0
50000,48522,3754,1,0,1,1,1,0,0,0
180000,-2,0,0,0,0,0,0,0,0,0
110000,58362,2500,0,0,0,1,1,0,0,1
340000,172180,21105,5461,0,0,0,0,0,0,0
50000,1399,1070,1500,0,0,0,0,0,0,0
230000,26361,1710,1100,0,0,0,0,0,0,1
360000,93029,10000,7000,0,0,0,0,0,0,0
210000,0,0,38013,0,0,0,0,0,0,0
220000,650,325,0,0,0,1,1,0,1,1
60000,24898,3800,0,1,0,1,1,1,1,1
340000,50396,44665,8321,0,0,0,0,0,0,0
150000,99855,5200,0,1,0,1,1,1,1,0
200000,-179,1000,0,0,0,0,1,0,0,1
130000,9559,3000,0,0,0,0,1,0,0,1
60000,10540,0,1483,0,0,1,0,0,0,0
400000,0,0,0,0,0,0,0,0,0,0
20000,20571,1323,1600,0,0,0,0,0,0,0
190000,143464,5795,7408,0,0,0,0,0,0,0
260000,156882,10000,8000,0,0,0,0,0,0,0
140000,390,0,0,0,0,0,0,0,0,0
50000,46512,1974,4406,0,0,0,0,0,0,1
120000,882,6900,5037,0,0,0,0,0,0,0
240000,92,92,92,0,0,0,0,0,0,0
50000,5916,1212,1200,0,0,0,0,0,0,0
200000,2393,0,4872,0,0,1,0,0,0,0
180000,274731,11000,145000,0,0,0,0,0,0,0
180000,145403,5440,5051,0,0,0,0,0,0,0
160000,3097,0,0,0,0,0,0,0,0,0
100000,1370,4210,4159,0,0,0,0,0,0,0
50000,47081,3000,2000,0,0,0,0,0,0,1
140000,138119,6600,6500,0,0,0,0,0,0,0
30000,17893,1411,1522,0,0,0,0,0,0,1
90000,39128,1541,4200,0,0,0,0,0,0,0
200000,-14386,10118,47015,0,0,0,0,0,0,0
380000,0,0,0,0,0,0,0,0,0,1
80000,77057,3177,2600,0,0,0,0,0,0,0
50000,15899,3400,0,1,0,1,1,0,0,0
180000,27679,1481,2000,0,0,0,0,0,0,1
240000,141315,6349,5834,0,0,0,0,0,0,0
380000,194314,9010,35000,0,0,0,0,0,0,0
110000,83755,3000,2900,0,0,0,0,0,0,0
260000,49657,291,51058,0,0,0,0,0,0,0
500000,507726,10000,0,0,0,0,1,0,0,1
320000,71305,2589,2568,0,0,0,0,0,0,0
50000,45734,0,0,0,0,0,1,0,0,0
110000,0,0,2066,0,0,0,0,0,0,1
230000,761,300,399,0,0,0,0,0,0,0
330000,-9,1529,1507,0,0,0,0,0,0,0
50000,47166,3000,2237,0,0,0,0,0,0,0
10000,2887,0,1500,0,0,1,1,1,0,0
300000,0,0,0,0,0,0,0,0,0,0
20000,20631,0,1168,0,1,1,0,0,0,1
180000,83538,0,0,1,0,1,0,0,0,1
160000,99,2977,15086,0,0,0,0,0,0,0
90000,34302,1640,9000,0,0,0,0,1,1,0
30000,22987,2500,2000,0,0,0,0,0,0,0
180000,173267,8100,5299,0,0,0,0,0,0,0
30000,19143,1640,1700,0,0,0,0,0,0,0
30000,20518,0,1342,0,0,1,0,0,0,0
140000,10833,14000,3855,0,0,0,0,0,0,0
210000,69937,3500,3000,0,0,0,0,0,0,0
50000,20526,2000,3000,0,0,0,0,0,0,1
130000,89055,4200,2575,0,0,0,0,0,0,0
50000,1894,1500,400,1,0,1,1,0,0,1
140000,100594,3000,30000,0,0,0,0,0,0,0
170000,2948,1105,1903,0,0,0,0,1,0,1
80000,22619,10010,1209,0,0,0,0,0,0,0
410000,338106,15000,14000,0,0,0,0,0,0,0
80000,0,80000,0,0,0,0,0,0,0,0
80000,63144,3500,4330,0,0,0,0,1,1,1
150000,153249,7900,6500,0,0,0,0,0,0,0
260000,1131,291,582,0,0,0,0,0,0,1
350000,0,0,0,0,0,0,0,0,0,0
280000,-1312,38621,2000,0,0,0,0,0,0,1
310000,103797,4400,4013,0,0,0,0,0,0,0
140000,20110,3000,3000,0,0,0,0,0,0,0
360000,38000,25000,0,0,0,0,0,0,0,0
140000,142428,10000,10000,0,0,0,0,0,0,0
100000,40810,2502,1200,0,0,0,0,0,0,0
50000,0,0,0,0,0,0,0,0,0,0
210000,104701,4002,5000,0,0,0,0,0,0,0
120000,120298,4007,0,1,0,1,1,1,1,0
240000,156362,5233,3289,0,0,0,0,0,0,0
60000,41322,1488,1394,0,0,0,0,0,0,0
150000,1464,2091,384,0,0,0,0,0,0,1
30000,27879,1774,1710,0,0,0,0,0,0,0
160000,160432,7500,0,1,0,1,1,1,1,1
200000,3858,2690,3487,0,0,0,0,0,0,0
120000,26476,6000,0,0,0,0,0,0,0,0
500000,507062,325,15296,0,0,1,0,0,0,0
320000,55607,11404,8232,0,0,0,0,0,0,0
280000,168382,10000,8000,0,0,0,0,0,0,0
60000,29332,0,2709,0,0,1,1,1,1,1
200000,190,0,0,0,0,0,0,0,0,0
230000,0,0,2809,0,0,0,0,0,0,0
230000,13668,0,1064,0,0,1,0,0,0,1
480000,14867,26734,199982,0,0,0,0,0,0,0
50000,22500,5000,0,0,0,0,0,0,0,0
200000,7184,17507,1102,0,0,0,0,0,0,0
50000,14811,2000,1600,0,0,0,0,0,0,0
50000,44338,3629,3332,0,0,0,0,0,0,0
260000,0,0,0,0,0,0,0,0,0,1
30000,25265,1500,1800,1,0,0,0,0,0,0
440000,169661,8071,9021,0,0,0,0,0,0,0
230000,10237,2795,1350,0,0,0,0,0,0,0
200000,104978,4500,0,1,0,1,1,0,0,1
490000,192586,10000,7143,0,0,0,0,0,0,0
80000,11262,0,0,0,0,0,0,0,0,0
20000,9551,3000,1500,1,0,1,1,1,0,1
170000,199,199,199,0,0,0,0,0,0,1
70000,70119,3600,1646,0,0,0,0,0,0,0
210000,212601,6000,4500,0,0,0,0,0,0,0
90000,91894,3200,3300,0,0,0,0,0,0,0
390000,304867,13007,10612,0,0,0,0,0,0,1
110000,48123,2500,2500,0,0,0,0,0,0,0
580000,159760,6422,6565,0,0,0,0,0,0,0
360000,9210,6015,17454,0,0,0,0,0,0,0
270000,234752,10000,8000,0,0,1,1,1,1,1
60000,14072,0,0,0,0,0,0,0,1,0
110000,61807,2300,2200,0,0,0,0,0,0,0
50000,51044,2500,3008,0,0,0,0,0,0,0
80000,77024,3212,1600,0,0,0,0,0,0,1
50000,350,350,400,0,0,0,0,0,0,0
100000,83831,4000,4037,0,0,0,0,0,1,0
30000,0,0,945,0,0,0,0,0,0,0
200000,122923,5704,5930,0,0,0,0,0,0,0
240000,246135,12026,9010,0,0,0,0,0,0,1
220000,37304,1600,1500,0,0,0,0,0,0,0
160000,146433,4500,4400,0,0,0,0,0,0,0
180000,46122,1260,29366,0,0,0,0,0,0,0
200000,38564,5000,1485,0,0,0,0,0,0,0
140000,96304,4505,12906,0,0,0,0,1,0,0
380000,0,0,0,0,0,0,0,0,0,1
600000,467150,0,18000,1,0,1,0,0,0,1
260000,255691,14000,5022,0,0,0,0,0,0,0
200000,156786,179,1443,0,0,0,0,0,0,0
80000,78129,2500,51432,0,0,0,0,0,0,0
40000,40034,2027,1207,0,0,0,0,0,0,0
130000,71034,0,6000,0,0,1,1,1,1,0
50000,23974,1800,1900,0,0,0,0,0,0,0
230000,819,18163,5654,0,0,0,0,0,0,0
70000,50927,2100,1217,0,0,0,0,0,0,1
180000,152510,5657,10372,0,0,0,0,0,0,0
80000,1689,8638,5723,0,0,0,0,0,0,0
290000,20807,80000,3000,0,0,0,0,0,0,0
230000,30141,120093,8034,0,0,0,0,0,0,0
170000,0,0,1991,0,0,0,0,0,0,0
230000,208459,7536,7277,0,0,0,0,0,0,1
220000,212795,8909,7500,0,0,0,0,0,0,1
230000,28114,1610,1224,0,0,0,0,0,0,0
500000,59372,10026,7241,0,0,0,0,0,0,0
90000,6160,3276,6246,0,0,0,0,0,0,0
390000,355215,13802,16525,0,0,0,0,0,0,1
400000,366193,14020,13595,0,0,0,0,0,0,0
180000,2927,2790,1140,0,0,0,0,0,0,0
60000,29295,1800,1500,0,0,1,1,0,0,0
120000,4158,2682,0,0,0,0,0,0,0,0
60000,27199,1900,1400,0,0,0,0,0,0,0
50000,50893,1800,1500,0,0,0,0,0,0,0
70000,66759,2518,5950,0,0,0,0,1,0,0
500000,600,0,501,0,0,1,0,0,0,0
200000,0,0,0,0,0,0,0,0,0,0
250000,44930,120041,4435,0,0,0,0,0,0,0
140000,131367,17000,0,0,0,0,1,1,1,1
70000,41264,2112,1200,0,0,0,0,0,0,0
90000,77604,1700,4000,0,0,1,1,1,1,0
100000,2491,1709,574,0,0,0,0,0,0,0
190000,177554,7600,6303,0,0,0,0,0,0,0
230000,6865,15111,13165,0,0,0,0,0,0,0
320000,93768,3317,3506,0,0,0,0,0,0,0
220000,396,1648,792,0,0,0,0,0,0,1
260000,16426,6277,4663,0,0,0,0,0,0,0
90000,573,157,0,0,0,0,0,0,0,0
30000,28703,1300,2,1,0,1,1,1,1,0
260000,98560,4000,11900,0,0,0,0,1,0,0
170000,28304,4000,308,0,0,0,0,0,0,0
80000,8574,1203,1047,0,0,0,0,0,0,1
50000,508,1000,390,0,0,0,0,0,0,0
200000,203183,7521,7000,0,0,0,0,0,0,0
20000,16440,7403,0,0,0,0,1,0,0,0
250000,66,0,0,0,0,0,0,0,0,0
20000,15912,1623,3916,0,0,0,0,1,1,0
30000,20344,2000,1500,0,0,0,0,0,1,0
90000,23132,0,6000,0,0,1,1,1,1,0
230000,221590,10000,9000,0,0,0,0,0,0,0
130000,19161,2000,3000,0,0,0,0,0,0,1
30000,0,0,0,0,0,0,0,0,0,0
160000,396,396,396,0,0,0,0,0,0,0
500000,3959,0,285138,0,0,0,0,0,0,0
180000,42238,2500,2000,0,0,0,0,0,0,0
80000,21507,1700,1400,0,0,0,0,0,0,0
120000,884,0,0,0,0,0,0,0,0,0
130000,1261,1261,1261,0,0,0,0,0,0,0
120000,240,240,240,0,0,0,0,0,0,1
360000,20223,53228,3997,0,0,0,0,0,0,0
50000,29509,2000,1500,1,0,1,1,1,1,1
20000,18355,2900,10,0,0,0,1,0,0,0
100000,94265,2385,88678,0,0,0,0,0,0,0
70000,68739,3060,3300,0,0,0,0,0,0,0
50000,13917,3000,5000,0,0,0,0,0,0,0
10000,10250,0,2126,0,0,1,0,0,0,0
290000,93844,6000,7000,0,0,0,0,0,0,0
30000,16496,1597,1606,0,0,0,0,0,0,0
410000,-58,33049,16000,0,0,0,0,0,0,0
360000,1210,390,75720,0,0,0,0,0,0,1
140000,111496,6022,3021,0,0,0,0,0,0,1
210000,67374,3200,3200,0,0,0,0,0,0,0
220000,1692,13250,433,0,0,0,0,0,0,0
20000,18649,0,1594,0,0,1,0,0,0,0
620000,160837,0,6200,1,0,1,0,0,0,1
360000,-8,0,0,0,0,0,0,0,0,0
20000,18763,14410,0,0,0,0,1,1,0,0
50000,34549,2836,1200,0,0,0,0,0,0,0
50000,97538,2454,1588,0,0,0,0,0,0,0
10000,4073,2400,0,0,0,0,1,1,1,1
100000,53849,2050,7500,1,0,0,0,0,0,1
50000,2411,3068,2440,0,0,0,0,0,0,0
60000,480,1675,2500,0,0,0,0,0,0,0
440000,330759,13100,11000,0,0,0,0,0,0,0
120000,92007,5417,2847,0,0,0,0,0,0,0
50000,3257,1000,0,0,0,0,0,0,0,0
110000,92638,600,7300,0,0,1,1,1,1,0
200000,399,0,0,0,0,0,0,0,0,0
150000,0,0,0,0,0,0,0,0,0,0
30000,28778,0,1000,1,0,0,1,1,0,1
100000,30092,1553,5000,0,0,0,0,0,0,0
360000,12339,10000,13912,0,0,0,0,0,0,0
390000,50620,5000,3000,0,0,0,0,0,0,0
